purp0|TL|ru|i|1200|0.98|179|1.02|74|119.0|0.66|0.21|0.10|0.08|40
BeYN|KRX|kr|i|1054|0.98|180|0.95|72|117.8|0.63|0.30|0.06|0.06|28
al0rante|PCF|de|c|797|0.98|199|1.00|67|133.5|0.73|0.17|0.08|0.09|43
sociablEE|FUT|tr|c|1397|0.98|189|0.95|71|123.0|0.65|0.41|0.08|0.10|25
Kr1stal|GE|ru|i|1255|0.98|180|0.97|70|121.1|0.62|0.24|0.07|0.06|26
xavi8k|GE|ph|c|1255|0.98|182|0.94|72|120.3|0.64|0.34|0.06|0.08|23
waddle|PCF|gb|i|367|0.98|195|0.93|68|133.0|0.67|0.29|0.04|0.07|31
Deryeon|WOL|sg|c|519|0.98|191|0.96|73|124.1|0.67|0.37|0.06|0.08|24
Rarga|XLG|ru|d|1640|0.98|220|1.07|72|139.0|0.78|0.19|0.17|0.15|29
WsLeo|XLG|tw|i|1640|0.98|188|0.98|74|125.1|0.65|0.36|0.07|0.07|26
Timotino|100T|ca|d|1149|0.98|222|1.01|68|144.0|0.76|0.23|0.19|0.18|26
Francis|NS|kr|d|1158|0.98|213|0.99|72|136.7|0.73|0.28|0.12|0.13|21
Ezeir|NOVA|cn|c|962|0.98|192|0.97|72|124.3|0.67|0.35|0.07|0.05|25
echo|EF|tr|c|774|0.98|204|1.00|69|135.1|0.73|0.20|0.12|0.11|34
Jamelinho213|SGE|fr|d|152|0.98|224|1.02|68|147.0|0.78|0.21|0.19|0.21|31
yilai|BLG|cn|d|507|0.98|224|1.06|70|137.3|0.79|0.27|0.13|0.16|24
eKo|ZETA|kr|d|742|0.97|194|0.92|70|130.6|0.67|0.28|0.11|0.11|26
Cloud|FNC|ru|i|938|0.97|185|0.94|73|128.0|0.65|0.29|0.07|0.07|26
musashi|SGE|de|i|152|0.97|177|0.90|72|115.5|0.61|0.32|0.12|0.05|18
artzin|FUR|br|c|1077|0.97|191|0.98|70|129.4|0.68|0.32|0.07|0.10|25
SiuFatBB|TYL|hk|i|997|0.97|162|0.95|72|110.2|0.58|0.30|0.04|0.04|30
